Date, Company, Abstract, Score
7/14/21,Delta Airlines,"Delta’s quarterly profit, which was buoyed by $1.5 billion in federal stimulus money, was still down 55 percent from the same quarter in 2019.",-0.077777778
3/31/21,Delta Airlines,"The company, which started blocking middle seat bookings in April 2020 to give passengers peace of mind, is the last of the four big U.S. airlines to get rid of the policy.",0
7/20/20,Delta Airlines,Delta Air Lines said it would require passengers unable to wear face masks because of health conditions to undergo a medical clearance at the airport before boarding — or the passengers should “reconsider travel” altogether.,-0.25
7/22/21,Delta Airlines,U.S. carriers are reaping the rewards as a surge in domestic air travel has exceeded forecasts.,0
11/26/20,Delta Airlines,"For the first time since the coronavirus pandemic swept across Europe and the United States, a pilot program will allow a limited number of passengers to travel across the Atlantic from Atlanta to Italy without having to quarantine upon arrival, according to a Delta Air Lines news release on Thursday.",0.089285714
8/26/21,Delta Airlines,"Insurance surcharges, like the one announced by Delta Air Lines, are a new front in corporate coronavirus vaccine initiatives.",0.068181818
7/17/20,Delta Airlines,"Delta Air Lines has told pilots it will not furlough them for a year if they accept a 15 percent cut to guaranteed pay, according a memo sent to staff on Friday.“Our approach is to spread the work of a smaller airline among all our pilots to preserve all jobs — that would be unheard of in our history,” John Laughter, senior vice president of flight operations, said in the memo, which was reviewed by The New York Times.",0.068181818
3/16/21,Delta Airlines,"Once again, we have socialized an industry’s losses and privatized its profits.",0
3/23/22,Delta Airlines,"The chief executives of American Airlines, Delta Air Lines, United Airlines and several other passenger and cargo carriers made the request Wednesday.",-0.041666667
3/10/20,Delta Airlines,"American, United and Delta pointed to strong cash positions and said they were cutting costs to offset lost bookings.",-0.055555556
12/29/21,Delta Airlines,"Many airlines have canceled a spate of flights during the busy holiday travel season, blaming staff shortages caused by a spike in infections.",0.3
3/12/20,Delta Airlines,The Trump administration’s 30-day ban on most travelers from Continental Europe because of the coronavirus has dealt a fresh blow to the industry. Norwegian will temporarily halve its staff.,0.266666667
6/21/21,Delta Airlines,"Nearly 10,000 flights were delayed on Sunday, the busiest day for U.S. airports since the pandemic arrived.",0.1
6/25/20,Delta Airlines,"International travel, a big profit generator for airlines, has been slow to recover and will probably take a big blow from the loss of trans-Atlantic traffic.",-0.075
4/21/22,Delta Airlines,"Delta, United, American and Alaska announced plans to roll back its bans after a judge struck down a federal mask mandate on Monday.",-0.051851852
2/4/22,Delta Airlines,The request came in a letter to the attorney general after an increase in complaints about violent and disruptive passengers during the pandemic.,-0.375
1/14/20,Delta Airlines,"At least 60 people were treated for minor injuries, the authorities said. Delta said the plane had an engine issue and dumped fuel to reduce its landing weight.",-0.175
3/15/22,Delta Airlines,"February bookings for U.S. travel beat those preceding the pandemic, a data analysis found. Summer looks promising for the industry, if fuel costs cooperate.",0.2
6/12/21,Delta Airlines,Video from the flight showed a violent confrontation involving several people wrestling a man to the floor as someone said: “Get him down. Keep him down.”,-0.277777778
3/5/22,Delta Airlines,"If you’re thinking of traveling and you’ve got points or miles sitting in airline and credit card accounts, the time to cash in may have arrived. Here’s what you need to know.",0
4/2/21,Delta Airlines,The pushback came just a day after Delta Air Lines and Coca-Cola spoke out against similar efforts in Georgia.,0
10/1/20,Delta Airlines,"With few people traveling and lawmakers deadlocked on a stimulus package, American Airlines and United Airlines are cutting more than 30,000 jobs.",-0.075
5/28/21,Delta Airlines,"After a miserable year, vaccinations and reopenings could lead to what airlines hope will be a summer flying frenzy.",-1
3/16/20,Delta Airlines,"The service cuts are major, but you can still get from here to there if you need to.",0.0625
6/3/20,Delta Airlines,Beijing will allow limited flights by international carriers to resume after the White House threatened to block Chinese passenger jets from flying to the U.S.,-0.017857143
4/1/21,Delta Airlines,The discount airline became the second to sell shares in a public offering this year as more people begin traveling again.,0.166666667
9/30/20,Delta Airlines,"Pilots, flight attendants and other staff are retiring early or taking buyouts and leaves of absence in anticipation of a slow recovery.",-0.084375
4/26/21,Delta Airlines,"The European Commission chief expects provisions opening the door for vaccinated Americans, and the industry sees opportunity.",0
3/25/20,Delta Airlines,"With pandemic-related travel restrictions in place, airlines are showing a new generosity when it comes to rebooking. Here are the policies of the biggest U.S. carriers.",0.136363636
8/13/21,Delta Airlines,Thousands of passengers have experienced delayed or canceled flights since June when airlines began to struggle with surging demand and worker shortages. Here’s how to deal with the chaos.,0.8
12/29/21,Delta Airlines,Problems peaked on Sunday as carriers dealt with staffing shortages and bad weather.,-0.7
1/31/20,Delta Airlines,"American, Delta and United will halt service to the Chinese mainland, widening the impact of the outbreak on business and travel.",0
11/23/21,Delta Airlines,"Even in normal times, the days around Thanksgiving are a delicate period for the airlines. But this week is the industry’s biggest test since the pandemic began, as millions more Americans — emboldened by vaccinations and reluctant to spend another holiday alone — are expected to take to the skies than during last year’s holidays.",0.05
6/4/20,Delta Airlines,"Companies are promoting new rules to reassure Americans that flying is safe. But when it comes to enforcement, they are not following through.",0.212121212
12/1/21,Delta Airlines,"The agency said it was “issuing this directive to prevent the importation and spread of a communicable disease of public health importance,” an apparent reference to the new Omicron variant.",0.062121212
4/22/21,Delta Airlines,"As demand for tickets recovers, airlines are calling back workers, adding flights and planning for a summer they say could be normal.",0.075
5/11/20,Delta Airlines,"Most flights are virtually empty, but some are still operating near capacity, frustrating travelers who say airlines are not doing enough to keep them safe.",0.1
3/25/21,Delta Airlines,"Airports have been consistently busier in recent weeks than at any point in the past year, although passenger screenings are still down more than 40 percent from the same period in 2019.",0.057407407
2/19/21,Delta Airlines,Experts say that tourists could come back in the spring or summer but that more profitable business travelers could stay away for a year or longer.,0.25
12/14/21,Delta Airlines,Airlines expect to carry many more people — and bags — over the holidays as demand recovers to nearly where it was before the pandemic.,0.366666667
5/23/20,Delta Airlines,"The destinations are mostly in secondary markets that have had little demand for flights or could be served by nearby airports, airlines said.",-0.24375
6/23/21,Delta Airlines,"Robert Jordan, a 33-year veteran at Southwest, will take over for Gary Kelly, the longtime chief, early next year.",0.033333333
7/26/21,Delta Airlines,"“The more transmissible Delta variant is spreading both here and around the world,” the White House press secretary said, and cases are rising.",0.25
4/20/21,Delta Airlines,"During the pandemic, older aircraft have been retired, resulting in a fleet that can collect more information about emissions and safety.",0.333333333
1/20/22,Delta Airlines,"The Omicron variant weighed on demand in the final three months of 2021, but the airline said it hoped to turn a profit this year.",0
12/26/21,Delta Airlines,"The virus, and winter weather, are making flights trickier during a busy season.",0.1
7/22/20,Delta Airlines,"United Airlines is expanding its mask policy and will begin requiring passengers to wear face coverings not only on board its planes but also in its lounges and baggage claim areas and at its gates, customer service counters and kiosks.",0
12/30/22,Delta Airlines,How low will they go?,0
3/5/20,Delta Airlines,"United will curtail service on domestic and global routes as companies restrict trips, testing a long stretch of airline industry profitability.",-0.016666667
4/14/20,Delta Airlines,"Airlines will receive billions of dollars in grants and loans to pay flight attendants, pilots and other employees.",-0.125
4/27/20,Delta Airlines,"They’re giving those customers an extra year to accumulate the points that result in free upgrades, breakfasts, club access and other perks. And that may be just the beginning.",0.091666667
8/3/21,Delta Airlines,"Australia’s largest airline, Qantas, said it would temporarily lay off 2,500 employees as travel plunges in response to the ballooning coronavirus outbreak in Sydney.",0
6/1/22,Delta Airlines,"With the opening of Delta Air Lines’s new terminal at La Guardia Airport, New York gets a distinctive new collection of public artworks.",0.102272727
9/27/22,Delta Airlines,The Justice Department antitrust case contends that the carriers’ cooperation in Boston and New York reduces competition.,0.136363636
11/22/21,Delta Airlines,"Thanksgiving will be the biggest test of the system’s resilience since the pandemic began, with millions more passengers than last year.",0.25
10/21/21,Delta Airlines,"Both airlines said they expected to do even better in the final three months of the year, lifted by corporate, international and holiday travel.",0.08
8/21/21,Delta Airlines,"Military officials are poised to activate the Civil Reserve Air Fleet. The defense secretary must still approve the decision, which would provide 20 planes to evacuation efforts.",-0.1
1/17/22,Delta Airlines,"Thousands of planes could be grounded because the new internet technology interferes with sensors, the industry reiterated in a letter to federal officials.",0.136363636
5/25/21,Delta Airlines,"Air France, KLM and Finnair said they would suspend flights going through the country’s airspace.",0
10/10/20,Delta Airlines,United and Delta have been boasting to lenders about fat margins in frequent-flier mile programs. Time for customers to pay a bit more attention.,0.5
2/14/20,Delta Airlines,"The airline pledges to spend at least $1 billion to buy emission offsets and invest in more efficient planes, new fuel sources and carbon-capture technologies.",0.112121212
9/30/20,Delta Airlines,"Tens of thousands of airline workers are bracing for a wave of furloughs that could begin as soon as Thursday, when a ban on broad layoffs that was a condition of federal aid comes to an end. The cuts will be painful, but they could have been worse.",-0.345833333
7/21/20,Delta Airlines,"Whether your flight will be jammed with passengers, or have enough empty seats to soothe virus-fearing travelers, really depends on the airline.",0
4/8/22,Delta Airlines,"The rival bids for Spirit from Frontier and JetBlue could create an airline that presents a more formidable challenge to American, Delta, Southwest and United.",0.25
1/11/22,Delta Airlines,"United Airlines’ chief executive said that 3,000 workers recently tested positive and that it was cutting its flight schedule to manage the shortage of workers.",-0.124242424
12/10/20,Delta Airlines,Planes are one part of an elaborate supply chain to move billions of doses of vaccines around the world.,0.5
11/10/20,Delta Airlines,"United Airlines said Tuesday that it would return to Kennedy International Airport in February, a move that could intensify competition between large airlines once the pandemic is brought under control.",0.107142857
12/28/21,Delta Airlines,"The C.D.C. decision to cut the confinement period was welcomed by many business representatives, but a union leader warned that workers may feel pressure to return to their jobs too soon.",0.5
8/25/20,Delta Airlines,"American Airlines said it would furlough 19,000 workers if lawmakers do not extend aid to the industry, which has been hammered by the pandemic.",0
3/12/20,Delta Airlines,"The damage is likely to go well beyond tourism, as business plans are disrupted and consumer confidence is shaken.",0
7/20/22,Delta Airlines,"The carrier expects travel demand to remain strong, despite concerns about a recession.",0.433333333
7/27/22,Delta Airlines,"The decision could improve prospects for Spirit to reach a deal with JetBlue, a suitor it had previously rejected.",-0.166666667
11/28/21,Delta Airlines,"With several countries imposing new restrictions, the question now is whether travelers will be deterred.",0.068181818
6/17/21,Delta Airlines,"The airline had canceled only about 1 percent of its scheduled flights as of midmorning, and 10 percent of its flights were delayed.",0
4/1/21,Delta Airlines,United will start by hiring the roughly 300 pilots who either had a conditional job offer last year or whose start dates had been canceled because of the pandemic.,-0.05
4/30/20,Delta Airlines,"Major carriers are requiring masks on their flight crews. United, Delta and American decided that passengers must cover their faces, too.",0.03125
1/22/21,Delta Airlines,The chief executive of United Airlines told the company’s employees this week that the carrier — and other businesses — could make the coronavirus vaccine mandatory for all workers.,-0.125
4/19/22,Delta Airlines,"It created tensions between flight attendants and noncompliant passengers, but some travelers are worried about what comes next.",0
9/21/21,Delta Airlines,The Justice Department said their partnership amounted to a merger in the New York and Boston markets and reduced competition more widely.,0.178787879
9/15/20,Delta Airlines,"They have two weeks to decide whether to accept government rescue loans, or try to weather the storm without them.",0
5/10/21,Delta Airlines,"Dozens of people face fines of up to $35,000 for assaulting and interfering with flight attendants under a zero-tolerance policy introduced by the F.A.A. this year.",0
4/8/22,Delta Airlines,The potential takeover of Spirit Airlines will test the way that trustbusters review deals.,0
2/19/20,Delta Airlines,"As overall performance declined again, Hawaiian, Delta and Alaska were the most punctual, while Frontier and JetBlue were laggards.",0.25
10/19/21,Delta Airlines,"With government officials around the world slowly easing travel restrictions, and companies starting to send employees on more business trips, United’s executives expressed optimism about the coming months.",0.066666667
5/10/20,Delta Airlines,An industry that is intimately familiar with failure confronts a crisis unlike any other. Executives say they have no idea when passengers will return.,-0.022222222
7/30/20,Delta Airlines,"Concerned about virus-related safety on commercial planes, many fliers are turning to private jets for the first time. The catch, of course, is the price.",0.1875
3/5/20,Delta Airlines,"The effects could wipe out up to $113 billion in worldwide revenues this year, a trade group said, a new blow to the industry.",0.136363636
4/14/20,Delta Airlines,The latest on stock market and business news during the coronavirus outbreak.,0.5
4/28/20,Delta Airlines,The airline will require all passengers to wear a face covering from the beginning to the end of their trip. The policy takes effect Monday.,0
10/11/20,Delta Airlines,Here’s what you need to know about the week’s top stories.,0.5
4/20/22,Delta Airlines,"The carrier’s chief predicted a “historic inflection point for our business,” with strong demand despite fare increases fed by rising fuel prices.",0.216666667
3/6/20,Delta Airlines,"Air France, citing the virus, has called for relief from taxes designed to curb global warming emissions. Other efforts could be disrupted as well.",-0.0625
3/31/20,Delta Airlines,"Public health officials have been pushing airlines for years to gather more traveler data, but airlines have balked, citing cost and time.",0.25
3/17/20,Delta Airlines,"A week ago, U.S. airlines said they could absorb the costs of the coronavirus outbreak. Now, they’ve approached the government for help. More will follow.",0.5
7/6/21,Delta Airlines,“Who has eight hours to call an online travel agent?” asked one of many frustrated would-be travelers encountering delays and confusing rules when rebooking flights.,-0.166666667
3/27/20,Delta Airlines,Live updates on stock market and business news during the coronavirus outbreak.,0.136363636
1/14/21,Delta Airlines,Regulators and airlines fear more disruptive and violent behavior leading up to Joe Biden’s swearing-in. Some lawmakers want rioters barred from flying.,-0.15
12/26/21,Delta Airlines,"At least 2,600 more flights were canceled globally on Monday, including about 1,000 U.S. flights.",0.066666667
6/21/21,Delta Airlines,"Americans spent 4 percent less on flights in May than in April, and 20 percent less than May 2019.",-0.144444444
1/15/20,Delta Airlines,Some residents were outraged after a plane carrying 164 people dumped fuel over several schools as it made an emergency landing.,-0.45
12/13/22,Delta Airlines,"United plans to take delivery of the planes over an eight-year span to refresh its fleet and increase fuel efficiency, with an option to buy 100 more.",0.5
11/12/21,Delta Airlines,It’s been a familiar and infuriating story during the pandemic: Hours waiting for an agent only to have the call dropped. The ordeal of rescheduling canceled flights. Delayed refunds. What gives?,-0.075
10/7/21,Delta Airlines,"The airline is expecting strong holiday travel, especially around Thanksgiving.",0.216666667
4/22/20,Delta Airlines,The latest on stock market and business news during the coronavirus outbreak.,0.5
7/8/20,Delta Airlines,The airline warned workers that they could lose their jobs because demand for travel remains weak and appears to be falling again as infections rise.,-0.375
9/30/22,Delta Airlines,The airline said it was too small to compete at the airport and would cease flights there at the end of October.,-0.25
6/1/20,Delta Airlines,"They’re requiring masks, taking temperatures and speeding check-ins. But as one travel expert put it, “So much is uncertain right now.”",0.242857143
9/10/21,Delta Airlines,"“My message to unvaccinated Americans is this: What more is there to wait for?” President Biden said on Thursday. “We’ve been patient, but our patience is wearing thin.”",0.05
6/26/21,Delta Airlines,"The classes, which will resume in July, come as crew members struggle with a surge in cases of unruly passengers.",0
7/14/21,Delta Airlines,Here’s what you need to know at the end of the day.,0
3/26/22,Delta Airlines,A post-Omicron travel boom has encountered headwinds from fuel costs and the war in Ukraine. Here’s how changes in the airline industry could affect the cost of your next trip.,0
7/20/21,Delta Airlines,The S&P 500 rose 1.5 percent on Tuesday. On Monday it had fallen 1.6 percent in its sharpest decline since mid-May.,0.6
12/31/21,Delta Airlines,"Airlines and passengers are ending the year with many of their plans upended. And New Year’s weekend may be bumpy, too.",0.318181818
4/28/22,Delta Airlines,The airline reported a $278 million loss in the first three months of the year.,0.25
6/1/22,Delta Airlines,"With cheeky names like Play and Breeze, at least eight new low-cost airlines have entered the market since 2020. Here’s what to consider (potential headaches included) before buying a ticket.",-0.054545455
8/6/21,Delta Airlines,"United Airlines employees will be required to upload proof of vaccination within five weeks of the Food and Drug Administration’s fully approving a vaccine or by Oct. 25, whichever comes first.",0.25
11/19/20,Delta Airlines,"It will take weeks, if not months, for American, United and Southwest to get the plane back into service — and reassure travelers about its safety.",0
4/5/22,Delta Airlines,"JetBlue’s offer is worth more than Frontier’s, but the combination of Spirit and JetBlue is less of a clear fit, industry analysts say.",0.226666667
6/29/21,Delta Airlines,"The carrier is ordering 270 single-aisle planes from Boeing and Airbus, signaling confidence that the pandemic is receding and travelers will spend on premium service.",0
2/7/22,Delta Airlines,The budget carriers said they would save customers $1 billion a year while adding jobs.,0
12/29/21,Delta Airlines,Some say the airlines. Others say Omicron.,0
7/15/20,Delta Airlines,"Airlines have canceled orders for hundreds of the troubled jet because of its safety problems and the pandemic, but others are still eager to buy them.",-0.5
1/3/22,Delta Airlines,"A storm in the Washington area knocked out power to hundreds of thousands of people, adding to the problems facing airlines, like staff shortages.",0
1/27/22,Delta Airlines,The carrier’s $68 million fourth-quarter profit was its first in two years without government aid.,0.25
11/19/20,Delta Airlines,"U.S. airlines expect Thanksgiving to be their busiest period since the pandemic began. But with new virus fears, a return to normal is nowhere in sight.",0.143181818
10/2/21,Delta Airlines,"Over the course of a year, the company and its unions grappled with when and how to require vaccination for its 67,000 U.S. employees.",0
5/24/21,Delta Airlines,The European Union told airlines to avoid Belarusian airspace after the country forced a commercial flight to land in order to arrest a journalist.,-0.0875
1/13/20,Delta Airlines,"More companies are setting up shop in the country, and more Indians who live elsewhere are returning to visit. Plus, tourism is growing.",0.378787879
7/21/22,Delta Airlines,"Like other carriers, American benefited from a travel rebound, but higher costs took a toll on its bottom line.",0.041666667
3/10/22,Delta Airlines,"The updated policy affects 2,200 employees who have been on unpaid leave or in roles not requiring in-person contact with customers.",0.2
8/3/21,Delta Airlines,The rise of the Delta variant of the coronavirus has raised new questions about how the vaccinated can stay safe and avoid breakthrough infections. We asked the experts for advice.,0.318181818
10/11/21,Delta Airlines,The airline and its pilots union denied that the cancellations were related to the company’s decision to require employees to be vaccinated against the coronavirus.,0
8/4/22,Delta Airlines,"If a new federal policy goes into effect, Americans will have more recourse when airlines cancel or significantly delay flights.",0.337121212
9/29/21,Delta Airlines,"About 600 people out of the company’s 67,000-person U.S. work force are set to lose their jobs. The airline said it would work with employees who decide to get vaccinated after the company deadline.",0
9/16/20,Delta Airlines,"Sarah Firshein tries to resolve  how a nonstop with seat selection became a packed “split flight,” with concerns over proper cleaning and an arrival two hours later than expected.",-0.05
10/10/21,Delta Airlines,"More than a thousand flights were canceled on Sunday and 800 on Saturday. The airline blamed air traffic control and “disruptive weather,” but no other carrier reported problems.",0.28125
6/22/22,Delta Airlines,"Despite recent federal changes meant to better include gender-diverse travelers, most U.S. airlines still require passengers to select “male” or “female” when booking a ticket.",0.2
5/16/22,Delta Airlines,The carrier made a tender offer valued at $3.2 billion and said it was willing to pay more if Spirit cooperated with an acquisition.,0.375
7/28/22,Delta Airlines,"The deal, which values Spirit at $3.8 billion, was announced a day after Frontier’s bid for Spirit fell apart. It is likely to face antitrust scrutiny.",0
6/29/22,Delta Airlines,"Spirit Airlines said it would continue to talk with both suitors, putting off a shareholder vote until July 8.",0
12/3/20,Delta Airlines,"Emotional support animals are considered pets instead of service animals under the new rules, which go into effect next month.",0.045454545
1/18/22,Delta Airlines,Whether the change would end the long conflict between the telecom and aviation industries wasn’t clear.,0.025
12/30/22,Delta Airlines,"Once a Texas mainstay, Southwest has become a major airline that many Californians rely upon to travel across their vast state.",0.1875
11/23/22,Delta Airlines,"Small-market airports have borne the brunt of schedule cutbacks, with some losing commercial service entirely. That has travelers facing steeper fares, inconvenient routes or long drives to bigger terminals.",-0.13
4/29/22,Delta Airlines,"A shipment of five million honeybees was diverted to Atlanta and left out on a hot tarmac. Local beekeepers tried to come to the rescue, but very few survived.",-0.0025
8/5/20,Delta Airlines,"Airlines are fine-tuning their cleaning procedures — where they clean, how frequently and with which tools. This is what the new processes look like.",0.201010101
1/21/22,Delta Airlines,"The retaliatory move came after the Chinese government canceled American, Delta and United flights to China after some passengers tested positive for the coronavirus.",0.075757576
2/5/22,Delta Airlines,A flight attendants’ union said the decision was “unsafe and irresponsible.”,0
12/22/21,Delta Airlines,Earning airline status gets both harder and easier as airlines retool their loyalty programs.,-0.1
4/20/22,Delta Airlines,"After a federal mask mandate was struck down on Monday, travelers are facing a patchwork of rules spanning air travel, trains, buses, cruise ships and ride-hailing services. Here’s what to know.",-0.155555556
1/9/22,Delta Airlines,Bad weather and staff shortages are still a problem. But airlines are also trying to deal with the traditional slowdown in travel in January.,-0.35
12/25/21,Delta Airlines,"Airlines have found themselves short staffed during the busy holiday travel season, as the number of coronavirus infections in the U.S. spikes.",0.05
4/15/22,Delta Airlines,"Supplies are not keeping up with demand, and costs may go higher, experts say.",0.25
5/1/20,Delta Airlines,There’s a reason we are deliberately pounding the topic of travel refunds into the ground: It’s a big deal and there’s lots of confusion and contradictory information out there.,0
5/21/20,Delta Airlines,"New security and health policies at airports and on planes will make traveling this summer a bit stranger and, officials hope, safer.",0.136363636
4/29/22,Delta Airlines,Are travelers missing out by not playing the credit-card game in search of first-class tickets? Our new Tripped Up columnist considers the fees and the benefits of two cards.,-0.154545455
7/6/20,Delta Airlines,"Before the pandemic, airlines worried about not being able to replace retiring baby boomers. Eager recruits expect to bear the brunt of layoffs.",0.5
12/24/21,Delta Airlines,"United Airlines, Delta, JetBlue and Allegiant were among those canceling flights, the latest blow to the holiday season.",0.5
11/18/20,Delta Airlines,"It will take weeks, if not months, for American, United and Southwest to get the plane back into service — and reassure travelers about its safety.",0
12/30/21,Delta Airlines,JetBlue and Alaska Airlines are among the hardest hit as weather and the latest coronavirus wave continue to snarl operations.,0.5
5/26/22,Delta Airlines,Ticket sales are climbing faster than the airline industry expected as more people plan summer vacations and business trips.,0.2
9/10/21,Delta Airlines,"Apple led the losses, but companies relying on the end to pandemic-related precautions took a beating, too.",0
9/1/21,Delta Airlines,"The majority of airport lounges serving international passengers remain closed, but domestic locations are reopening — offering varying experiences, that is. Here’s what air travelers need to know.",-0.033333333
1/19/21,Delta Airlines,"The average price for a one-way domestic flight dropped to $135 last summer, its lowest level in at least two decades, according to analysis of federal data.",-0.1125
4/9/20,Delta Airlines,"Passengers looking to fly to and from regional airports are feeling the brunt of airline cuts even more than those in bigger hubs, with many cancellations and circuitous routes.",0.45
7/8/20,Delta Airlines,"Airlines vowed to bring social distancing to the air. In practice, some are and some aren’t.",0.033333333
12/24/21,Delta Airlines,"Travelers had hoped this holiday season would represent a return to relative normalcy. Instead, pilots are out and delays are piling up.",0
5/26/21,Delta Airlines,"Shifting flight schedules, varying hotel flexibility and new tech: A lot has changed since the last time you packed that passport.",0.068181818
3/27/20,Delta Airlines,Are taxpayers rewarding bad behavior?,-0.1
3/13/20,Delta Airlines,"The Trump administration widened the travel ban to include the United Kingdom and Ireland. Here’s a guide on which countries are affected, and the changes to flights already occurring.",0
3/23/21,Delta Airlines,"Planes will be more crowded, meals may return, but don’t remove your mask just yet.",0.5
10/19/20,Delta Airlines,"More than a million people passed through airport checkpoints on Sunday, the first time the Transportation Security Administration has screened that many people since mid-March.",0.416666667
6/8/20,Delta Airlines,"After months of staying at home during the pandemic, Americans are heading to vacation destinations like Florida and national parks.",0
2/27/20,Delta Airlines,"“If you’re interested in the Great Wall and ancient sites, Alaska also offers spectacular natural sites,” said one Anchorage tourism official.",0.37
12/28/22,Delta Airlines,"Airlines may provide vouchers or reimbursements, or there may be places to sleep within the airport.",0
8/27/21,Delta Airlines,Delta Air Lines is charging unvaccinated workers more for health insurance. Here’s what to know.,0.5
6/6/21,Delta Airlines,Thousands of British tourists paid extra to rebook early return flights. British Airways and other airlines added flight capacity to help bring them home.,-0.005
6/18/20,Delta Airlines,"Unclear policies, confusing customer-service protocols and not-yet-fulfilled refunds continue to be an issue. Our columnist sees what she can do.",-0.3
10/12/21,Delta Airlines,"Numerous airline executives say no, but a growing number of politicians and medical experts say it is worth following Canada’s lead before holiday travel commences.",0.075
1/22/22,Delta Airlines,"A 29-year-old man from Galway, Ireland, was charged after his disruptive behavior aboard a flight from Dublin to John F. Kennedy International Airport on Jan. 7.",0
2/4/20,Delta Airlines,"People with travel plans to China and other Asian countries, are looking for answers about flight cancellations, refunds and, chiefly, safety.",-0.0625
3/21/22,Delta Airlines,The model involved in the China crash represents nearly 17 percent of the commercial aircraft in operation.,0.05
9/2/22,Delta Airlines,The D.O.T. says its new interactive chart is compelling many U.S. airlines to publicly commit to pay for things like hotels and meals when flights are canceled or significantly delayed. But does it have teeth?,0.262272727
9/3/21,Delta Airlines,"Uncertainty remains the new normal in travel this autumn driven by the rise in cases and ever-changing travel restrictions, but here are eight things you can expect.",0.143181818
8/20/20,Delta Airlines,"As passengers cautiously return to air travel, there are a few issues worth considering — from middle-seat policies to questions about virus transmission on airlines.",0.05
3/11/20,Delta Airlines,"If you are getting on an airplane, here’s what may have changed, both on the ground and in the air.",0
